,coach,team,season
0,Vince Tobin,ARI,1999
1,Dan Reeves,ATL,1999
2,Brian Billick,BAL,1999
3,Wade Phillips,BUF,1999
4,George Seifert,CAR,1999
5,Dick Jauron,CHI,1999
6,Bruce Coslet,CIN,1999
7,Chris Palmer,CLE,1999
8,Chan Gailey,DAL,1999
9,Mike Shanahan,DEN,1999
10,Bobby Ross,DET,1999
11,Ray Rhodes,GNB,1999
12,Jim Mora,IND,1999
13,Tom Coughlin,JAX,1999
14,Gunther Cunningham,KAN,1999
15,Jimmy Johnson,MIA,1999
16,Dennis Green,MIN,1999
17,Mike Ditka,NOR,1999
18,Pete Carroll,NWE,1999
19,Jim Fassel,NYG,1999
20,Bill Parcells,NYJ,1999
21,Jon Gruden,OAK,1999
22,Andy Reid,PHI,1999
23,Bill Cowher,PIT,1999
24,Mike Riley,SDG,1999
25,Mike Holmgren,SEA,1999
26,Steve Mariucci,SFO,1999
27,Dick Vermeil,STL,1999
28,Tony Dungy,TAM,1999
29,Jeff Fisher,TEN,1999
30,Norv Turner,WAS,1999
31,Dave McGinnis,ARI,2000
32,Vince Tobin,ARI,2000
33,Dan Reeves,ATL,2000
34,Brian Billick,BAL,2000
35,Wade Phillips,BUF,2000
36,George Seifert,CAR,2000
37,Dick Jauron,CHI,2000
38,Bruce Coslet,CIN,2000
39,Dick LeBeau,CIN,2000
40,Chris Palmer,CLE,2000
41,Dave Campo,DAL,2000
42,Mike Shanahan,DEN,2000
43,Gary Moeller,DET,2000
44,Bobby Ross,DET,2000
45,Mike Sherman,GNB,2000
46,Jim Mora,IND,2000
47,Tom Coughlin,JAX,2000
48,Gunther Cunningham,KAN,2000
49,Dave Wannstedt,MIA,2000
50,Dennis Green,MIN,2000
51,Jim Haslett,NOR,2000
52,Bill Belichick,NWE,2000
53,Jim Fassel,NYG,2000
54,Al Groh,NYJ,2000
55,Jon Gruden,OAK,2000
56,Andy Reid,PHI,2000
57,Bill Cowher,PIT,2000
58,Mike Riley,SDG,2000
59,Mike Holmgren,SEA,2000
60,Steve Mariucci,SFO,2000
61,Mike Martz,STL,2000
62,Tony Dungy,TAM,2000
63,Jeff Fisher,TEN,2000
64,Terry Robiskie,WAS,2000
65,Norv Turner,WAS,2000
66,Dave McGinnis,ARI,2001
67,Dan Reeves,ATL,2001
68,Brian Billick,BAL,2001
69,Gregg Williams,BUF,2001
70,George Seifert,CAR,2001
71,Dick Jauron,CHI,2001
72,Dick LeBeau,CIN,2001
73,Butch Davis,CLE,2001
74,Dave Campo,DAL,2001
75,Mike Shanahan,DEN,2001
76,Marty Mornhinweg,DET,2001
77,Mike Sherman,GNB,2001
78,Jim Mora,IND,2001
79,Tom Coughlin,JAX,2001
80,Dick Vermeil,KAN,2001
81,Dave Wannstedt,MIA,2001
82,Dennis Green,MIN,2001
83,Mike Tice,MIN,2001
84,Jim Haslett,NOR,2001
85,Bill Belichick,NWE,2001
86,Jim Fassel,NYG,2001
87,Herm Edwards,NYJ,2001
88,Jon Gruden,OAK,2001
89,Andy Reid,PHI,2001
90,Bill Cowher,PIT,2001
91,Mike Riley,SDG,2001
92,Mike Holmgren,SEA,2001
93,Steve Mariucci,SFO,2001
94,Mike Martz,STL,2001
95,Tony Dungy,TAM,2001
96,Jeff Fisher,TEN,2001
97,Marty Schottenheimer,WAS,2001
98,Dave McGinnis,ARI,2002
99,Dan Reeves,ATL,2002
100,Brian Billick,BAL,2002
101,Gregg Williams,BUF,2002
102,John Fox,CAR,2002
103,Dick Jauron,CHI,2002
104,Dick LeBeau,CIN,2002
105,Butch Davis,CLE,2002
106,Dave Campo,DAL,2002
107,Mike Shanahan,DEN,2002
108,Marty Mornhinweg,DET,2002
109,Mike Sherman,GNB,2002
110,Dom Capers,HOU,2002
111,Tony Dungy,IND,2002
112,Tom Coughlin,JAX,2002
113,Dick Vermeil,KAN,2002
114,Dave Wannstedt,MIA,2002
115,Mike Tice,MIN,2002
116,Jim Haslett,NOR,2002
117,Bill Belichick,NWE,2002
118,Jim Fassel,NYG,2002
119,Herm Edwards,NYJ,2002
120,Bill Callahan,OAK,2002
121,Andy Reid,PHI,2002
122,Bill Cowher,PIT,2002
123,Marty Schottenheimer,SDG,2002
124,Mike Holmgren,SEA,2002
125,Steve Mariucci,SFO,2002
126,Mike Martz,STL,2002
127,Jon Gruden,TAM,2002
128,Jeff Fisher,TEN,2002
129,Steve Spurrier,WAS,2002
130,Dave McGinnis,ARI,2003
131,Wade Phillips,ATL,2003
132,Dan Reeves,ATL,2003
133,Brian Billick,BAL,2003
134,Gregg Williams,BUF,2003
135,John Fox,CAR,2003
136,Dick Jauron,CHI,2003
137,Marvin Lewis,CIN,2003
138,Butch Davis,CLE,2003
139,Bill Parcells,DAL,2003
140,Mike Shanahan,DEN,2003
141,Steve Mariucci,DET,2003
142,Mike Sherman,GNB,2003
143,Dom Capers,HOU,2003
144,Tony Dungy,IND,2003
145,Jack Del Rio,JAX,2003
146,Dick Vermeil,KAN,2003
147,Dave Wannstedt,MIA,2003
148,Mike Tice,MIN,2003
149,Jim Haslett,NOR,2003
150,Bill Belichick,NWE,2003
151,Jim Fassel,NYG,2003
152,Herm Edwards,NYJ,2003
153,Bill Callahan,OAK,2003
154,Andy Reid,PHI,2003
155,Bill Cowher,PIT,2003
156,Marty Schottenheimer,SDG,2003
157,Mike Holmgren,SEA,2003
158,Dennis Erickson,SFO,2003
159,Mike Martz,STL,2003
160,Jon Gruden,TAM,2003
161,Jeff Fisher,TEN,2003
162,Steve Spurrier,WAS,2003
163,Dennis Green,ARI,2004
164,Jim Mora,ATL,2004
165,Brian Billick,BAL,2004
166,Mike Mularkey,BUF,2004
167,John Fox,CAR,2004
168,Lovie Smith,CHI,2004
169,Marvin Lewis,CIN,2004
170,Butch Davis,CLE,2004
171,Terry Robiskie,CLE,2004
172,Bill Parcells,DAL,2004
173,Mike Shanahan,DEN,2004
174,Steve Mariucci,DET,2004
175,Mike Sherman,GNB,2004
176,Dom Capers,HOU,2004
177,Tony Dungy,IND,2004
178,Jack Del Rio,JAX,2004
179,Dick Vermeil,KAN,2004
180,Jim Bates,MIA,2004
181,Dave Wannstedt,MIA,2004
182,Mike Tice,MIN,2004
183,Jim Haslett,NOR,2004
184,Bill Belichick,NWE,2004
185,Tom Coughlin,NYG,2004
186,Herm Edwards,NYJ,2004
187,Norv Turner,OAK,2004
188,Andy Reid,PHI,2004
189,Bill Cowher,PIT,2004
190,Marty Schottenheimer,SDG,2004
191,Mike Holmgren,SEA,2004
192,Dennis Erickson,SFO,2004
193,Mike Martz,STL,2004
194,Jon Gruden,TAM,2004
195,Jeff Fisher,TEN,2004
196,Joe Gibbs,WAS,2004
197,Dennis Green,ARI,2005
198,Jim Mora,ATL,2005
199,Brian Billick,BAL,2005
200,Mike Mularkey,BUF,2005
201,John Fox,CAR,2005
202,Lovie Smith,CHI,2005
203,Marvin Lewis,CIN,2005
204,Romeo Crennel,CLE,2005
205,Bill Parcells,DAL,2005
206,Mike Shanahan,DEN,2005
207,Dick Jauron,DET,2005
208,Steve Mariucci,DET,2005
209,Mike Sherman,GNB,2005
210,Dom Capers,HOU,2005
211,Tony Dungy,IND,2005
212,Jack Del Rio,JAX,2005
213,Dick Vermeil,KAN,2005
214,Nick Saban,MIA,2005
215,Mike Tice,MIN,2005
216,Jim Haslett,NOR,2005
217,Bill Belichick,NWE,2005
218,Tom Coughlin,NYG,2005
219,Herm Edwards,NYJ,2005
220,Norv Turner,OAK,2005
221,Andy Reid,PHI,2005
222,Bill Cowher,PIT,2005
223,Marty Schottenheimer,SDG,2005
224,Mike Holmgren,SEA,2005
225,Mike Nolan,SFO,2005
226,Mike Martz,STL,2005
227,Joe Vitt,STL,2005
228,Jon Gruden,TAM,2005
229,Jeff Fisher,TEN,2005
230,Joe Gibbs,WAS,2005
231,Dennis Green,ARI,2006
232,Jim Mora,ATL,2006
233,Brian Billick,BAL,2006
234,Dick Jauron,BUF,2006
235,John Fox,CAR,2006
236,Lovie Smith,CHI,2006
237,Marvin Lewis,CIN,2006
238,Romeo Crennel,CLE,2006
239,Bill Parcells,DAL,2006
240,Mike Shanahan,DEN,2006
241,Rod Marinelli,DET,2006
242,Mike McCarthy,GNB,2006
243,Gary Kubiak,HOU,2006
244,Tony Dungy,IND,2006
245,Jack Del Rio,JAX,2006
246,Herm Edwards,KAN,2006
247,Nick Saban,MIA,2006
248,Brad Childress,MIN,2006
249,Sean Payton,NOR,2006
250,Bill Belichick,NWE,2006
251,Tom Coughlin,NYG,2006
252,Eric Mangini,NYJ,2006
253,Art Shell,OAK,2006
254,Andy Reid,PHI,2006
255,Bill Cowher,PIT,2006
256,Marty Schottenheimer,SDG,2006
257,Mike Holmgren,SEA,2006
258,Mike Nolan,SFO,2006
259,Scott Linehan,STL,2006
260,Jon Gruden,TAM,2006
261,Jeff Fisher,TEN,2006
262,Joe Gibbs,WAS,2006
263,Ken Whisenhunt,ARI,2007
264,Bobby Petrino,ATL,2007
265,Emmitt Thomas,ATL,2007
266,Brian Billick,BAL,2007
267,Dick Jauron,BUF,2007
268,John Fox,CAR,2007
269,Lovie Smith,CHI,2007
270,Marvin Lewis,CIN,2007
271,Romeo Crennel,CLE,2007
272,Wade Phillips,DAL,2007
273,Mike Shanahan,DEN,2007
274,Rod Marinelli,DET,2007
275,Mike McCarthy,GNB,2007
276,Gary Kubiak,HOU,2007
277,Tony Dungy,IND,2007
278,Jack Del Rio,JAX,2007
279,Herm Edwards,KAN,2007
280,Cam Cameron,MIA,2007
281,Brad Childress,MIN,2007
282,Sean Payton,NOR,2007
283,Bill Belichick,NWE,2007
284,Tom Coughlin,NYG,2007
285,Eric Mangini,NYJ,2007
286,Lane Kiffin,OAK,2007
287,Andy Reid,PHI,2007
288,Mike Tomlin,PIT,2007
289,Norv Turner,SDG,2007
290,Mike Holmgren,SEA,2007
291,Mike Nolan,SFO,2007
292,Scott Linehan,STL,2007
293,Jon Gruden,TAM,2007
294,Jeff Fisher,TEN,2007
295,Joe Gibbs,WAS,2007
296,Ken Whisenhunt,ARI,2008
297,Mike Smith,ATL,2008
298,John Harbaugh,BAL,2008
299,Dick Jauron,BUF,2008
300,John Fox,CAR,2008
301,Lovie Smith,CHI,2008
302,Marvin Lewis,CIN,2008
303,Romeo Crennel,CLE,2008
304,Wade Phillips,DAL,2008
305,Mike Shanahan,DEN,2008
306,Rod Marinelli,DET,2008
307,Mike McCarthy,GNB,2008
308,Gary Kubiak,HOU,2008
309,Tony Dungy,IND,2008
310,Jack Del Rio,JAX,2008
311,Herm Edwards,KAN,2008
