name,college,height,weight,vert,broad,bench,shuttle,cone,10yd,20yd,40yd,season,position
Brad Banks,Iowa,70.75,201,33.5,112,,,,,,,2003,QB
Josh Blankenship,Tulsa,73.875,211,28.5,103,,4.42,7.59,1.78,2.97,5.14,2003,QB
Kyle Boller,California,75,234,35.5,117,,4.02,7.2,1.6,2.69,4.61,2003,QB
D. Bryant,Duke,74,218,35.5,114,,4.4,7.36,1.71,2.77,4.73,2003,QB
Ken Dorsey,Miami (FL),76.625,208,,,,,,,,,2003,QB
Jason Gesser,Washington State,72.625,205,,,,,,,,,2003,QB
Rex Grossman,Florida,73,217,,,,,,,,,2003,QB
Kliff Kingsbury,Texas Tech,75.5,213,30,101,,4.1,6.92,1.63,2.74,4.77,2003,QB
Byron Leftwich,Marshall,77.375,241,,,,,,,,,2003,QB
Carson Palmer,Southern California,77,232,,,,,,,,,2003,QB
Dave Ragone,Louisville,75.625,249,30.5,101,,4.36,7.42,1.78,2.93,4.99,2003,QB
Tony Romo,Eastern Illinois,74,230,30,105,,4.2,7.11,1.72,2.9,5.01,2003,QB
Brian Saint Pierre,Boston College,74.75,218,30,106,,,,1.8,2.85,4.82,2003,QB
Chris Simms,Texas,76.375,220,31,103,,4.21,7.38,1.69,2.83,4.84,2003,QB
Seneca Wallace,Iowa State,71.375,196,38,127,,4.14,6.98,1.62,2.67,4.56,2003,QB
Juston Wood,Portland State,72.625,207,32.5,113,,4.16,7.14,1.69,2.83,4.78,2003,QB
Casey Clausen,Tennessee,75.5,223,,,,,,,,,2004,QB
Jason Fife,Oregon,75.875,226,30.5,113,,4.18,7.28,1.7,2.86,4.86,2004,QB
Josh Harris,Bowling Green,73.5,238,31,115,,,,,,,2004,QB
Robert Kent,Jackson State,76.25,222,26.5,110,,4.22,7.69,1.65,2.83,4.9,2004,QB
Craig Krenzel,Ohio State,75.5,228,28,112,,4.08,7.22,1.7,2.83,4.85,2004,QB
Jared Lorenzen,Kentucky,75.25,288,,,,,,,,,2004,QB
J.P. Losman,Tulane,74.25,224,33,116,,,,1.53,2.69,4.69,2004,QB
Eli Manning,Mississippi,76.75,221,,,,,,,,,2004,QB
