,game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,home_result,stadium,location,roof,surface,old_game_id
0,2017_01_KC_NE,2017,REG,1,2017-09-07,Thursday,20:30,KC,NE,42,27,-15,Gillette Stadium,Home,outdoors,fieldturf,2017090700
1,2017_01_NYJ_BUF,2017,REG,1,2017-09-10,Sunday,13:00,NYJ,BUF,12,21,9,New Era Field,Home,outdoors,a_turf,2017091000
2,2017_01_ATL_CHI,2017,REG,1,2017-09-10,Sunday,13:00,ATL,CHI,23,17,-6,Soldier Field,Home,outdoors,grass,2017091001
3,2017_01_BAL_CIN,2017,REG,1,2017-09-10,Sunday,13:00,BAL,CIN,20,0,-20,Paul Brown Stadium,Home,outdoors,fieldturf,2017091002
4,2017_01_PIT_CLE,2017,REG,1,2017-09-10,Sunday,13:00,PIT,CLE,21,18,-3,FirstEnergy Stadium,Home,outdoors,grass,2017091003
5,2017_01_ARI_DET,2017,REG,1,2017-09-10,Sunday,13:00,ARI,DET,23,35,12,Ford Field,Home,dome,fieldturf,2017091004
6,2017_01_JAX_HOU,2017,REG,1,2017-09-10,Sunday,13:00,JAX,HOU,29,7,-22,NRG Stadium,Home,open,astroturf,2017091005
7,2017_01_OAK_TEN,2017,REG,1,2017-09-10,Sunday,13:00,OAK,TEN,26,16,-10,Nissan Stadium,Home,outdoors,grass,2017091007
8,2017_01_PHI_WAS,2017,REG,1,2017-09-10,Sunday,13:00,PHI,WAS,30,17,-13,FedExField,Home,outdoors,grass,2017091008
9,2017_01_IND_LA,2017,REG,1,2017-09-10,Sunday,16:05,IND,LA,9,46,37,Los Angeles Memorial Coliseum,Home,outdoors,grass,2017091009
10,2017_01_SEA_GB,2017,REG,1,2017-09-10,Sunday,16:25,SEA,GB,9,17,8,Lambeau Field,Home,outdoors,grass,2017091010
11,2017_01_CAR_SF,2017,REG,1,2017-09-10,Sunday,16:25,CAR,SF,23,3,-20,Levi's Stadium,Home,outdoors,grass,2017091011
12,2017_01_NYG_DAL,2017,REG,1,2017-09-10,Sunday,20:30,NYG,DAL,3,19,16,AT&T Stadium,Home,closed,matrixturf,2017091012
13,2017_01_NO_MIN,2017,REG,1,2017-09-11,Monday,19:10,NO,MIN,19,29,10,U.S. Bank Stadium,Home,dome,sportturf,2017091100
14,2017_01_LAC_DEN,2017,REG,1,2017-09-11,Monday,22:20,LAC,DEN,21,24,3,Sports Authority Field at Mile High,Home,outdoors,grass,2017091101
15,2017_02_HOU_CIN,2017,REG,2,2017-09-14,Thursday,20:25,HOU,CIN,13,9,-4,Paul Brown Stadium,Home,outdoors,fieldturf,2017091400
16,2017_02_CLE_BAL,2017,REG,2,2017-09-17,Sunday,13:00,CLE,BAL,10,24,14,M&T Bank Stadium,Home,outdoors,grass,2017091700
17,2017_02_BUF_CAR,2017,REG,2,2017-09-17,Sunday,13:00,BUF,CAR,3,9,6,Bank of America Stadium,Home,outdoors,grass,2017091701
18,2017_02_ARI_IND,2017,REG,2,2017-09-17,Sunday,13:00,ARI,IND,16,13,-3,Lucas Oil Stadium,Home,closed,fieldturf,2017091702
19,2017_02_TEN_JAX,2017,REG,2,2017-09-17,Sunday,13:00,TEN,JAX,37,16,-21,EverBank Field,Home,outdoors,grass,2017091703
20,2017_02_PHI_KC,2017,REG,2,2017-09-17,Sunday,13:00,PHI,KC,20,27,7,Arrowhead Stadium,Home,outdoors,grass,2017091704
21,2017_02_NE_NO,2017,REG,2,2017-09-17,Sunday,13:00,NE,NO,36,20,-16,Mercedes-Benz Superdome,Home,dome,sportturf,2017091705
22,2017_02_MIN_PIT,2017,REG,2,2017-09-17,Sunday,13:00,MIN,PIT,9,26,17,Heinz Field,Home,outdoors,grass,2017091706
23,2017_02_CHI_TB,2017,REG,2,2017-09-17,Sunday,13:00,CHI,TB,7,29,22,Raymond James Stadium,Home,outdoors,grass,2017091707
24,2017_02_MIA_LAC,2017,REG,2,2017-09-17,Sunday,16:05,MIA,LAC,19,17,-2,StubHub Center,Home,outdoors,grass,2017091708
25,2017_02_NYJ_OAK,2017,REG,2,2017-09-17,Sunday,16:05,NYJ,OAK,20,45,25,Oakland-Alameda County Coliseum,Home,outdoors,grass,2017091709
26,2017_02_DAL_DEN,2017,REG,2,2017-09-17,Sunday,16:25,DAL,DEN,17,42,25,Sports Authority Field at Mile High,Home,outdoors,grass,2017091710
27,2017_02_WAS_LA,2017,REG,2,2017-09-17,Sunday,16:25,WAS,LA,27,20,-7,Los Angeles Memorial Coliseum,Home,outdoors,grass,2017091711
28,2017_02_SF_SEA,2017,REG,2,2017-09-17,Sunday,16:25,SF,SEA,9,12,3,CenturyLink Field,Home,outdoors,fieldturf,2017091712
29,2017_02_GB_ATL,2017,REG,2,2017-09-17,Sunday,20:30,GB,ATL,23,34,11,Mercedes-Benz Stadium,Home,open,fieldturf,2017091713
30,2017_02_DET_NYG,2017,REG,2,2017-09-18,Monday,20:30,DET,NYG,24,10,-14,MetLife Stadium,Home,outdoors,fieldturf,2017091800
31,2017_03_LA_SF,2017,REG,3,2017-09-21,Thursday,20:25,LA,SF,41,39,-2,Levi's Stadium,Home,outdoors,grass,2017092100
32,2017_03_DEN_BUF,2017,REG,3,2017-09-24,Sunday,13:00,DEN,BUF,16,26,10,New Era Field,Home,outdoors,a_turf,2017092401
33,2017_03_NO_CAR,2017,REG,3,2017-09-24,Sunday,13:00,NO,CAR,34,13,-21,Bank of America Stadium,Home,outdoors,grass,2017092402
34,2017_03_PIT_CHI,2017,REG,3,2017-09-24,Sunday,13:00,PIT,CHI,17,23,6,Soldier Field,Home,outdoors,grass,2017092403
35,2017_03_ATL_DET,2017,REG,3,2017-09-24,Sunday,13:00,ATL,DET,30,26,-4,Ford Field,Home,dome,fieldturf,2017092404
36,2017_03_CLE_IND,2017,REG,3,2017-09-24,Sunday,13:00,CLE,IND,28,31,3,Lucas Oil Stadium,Home,closed,fieldturf,2017092405
37,2017_03_TB_MIN,2017,REG,3,2017-09-24,Sunday,13:00,TB,MIN,17,34,17,U.S. Bank Stadium,Home,dome,sportturf,2017092406
38,2017_03_HOU_NE,2017,REG,3,2017-09-24,Sunday,13:00,HOU,NE,33,36,3,Gillette Stadium,Home,outdoors,fieldturf,2017092407
39,2017_03_MIA_NYJ,2017,REG,3,2017-09-24,Sunday,13:00,MIA,NYJ,6,20,14,MetLife Stadium,Home,outdoors,fieldturf,2017092408
40,2017_03_NYG_PHI,2017,REG,3,2017-09-24,Sunday,13:00,NYG,PHI,24,27,3,Lincoln Financial Field,Home,outdoors,grass,2017092409
