team,off_epa_per_play,off_epa_count,off_total_epa,off_total_plays,def_epa_per_play,def_epa_count,def_total_epa,def_total_plays
ARI,0.0628,1363,85.5554,1363,0.0497,1343,66.7889,1343
ATL,0.0114,1412,16.097,1412,0.0439,1396,61.2907,1396
BAL,0.1401,1389,194.5382,1389,0.0085,1424,12.095,1424
BUF,0.1358,1366,185.4352,1366,-0.0036,1380,-4.9779,1380
CAR,-0.0392,1345,-52.7651,1345,0.1214,1485,180.2576,1485
CHI,-0.0512,1417,-72.4813,1417,0.0111,1332,14.8454,1332
CIN,0.0897,1416,127.0382,1416,0.056,1411,79.0637,1411
CLE,-0.1506,1468,-221.1064,1468,-0.0112,1365,-15.284,1365
DAL,-0.045,1471,-66.2528,1471,0.0511,1397,71.338,1397
DEN,0.0258,1382,35.6551,1382,-0.0725,1439,-104.2577,1439
DET,0.1396,1415,197.4834,1415,-0.0383,1379,-52.8801,1379
GB,0.0722,1357,98.0394,1357,-0.0395,1367,-53.9662,1367
HOU,-0.0123,1397,-17.172,1397,-0.0165,1382,-22.8163,1382
IND,-0.0359,1370,-49.2347,1370,0.0086,1439,12.4042,1439
JAX,0.0067,1300,8.747,1300,0.0982,1464,143.6919,1464
KC,0.0531,1392,73.85,1392,-0.0004,1351,-0.5576,1351
LA,0.0175,1347,23.5461,1347,0.0357,1387,49.5233,1387
LAC,0.0397,1344,53.3785,1344,-0.051,1363,-69.4767,1363
LV,-0.1066,1396,-148.8273,1396,-0.001,1412,-1.3682,1412
MIA,-0.0147,1397,-20.5837,1397,-0.0025,1354,-3.3957,1354
MIN,0.0229,1388,31.7661,1388,-0.0727,1431,-104.0445,1431
NE,-0.0643,1370,-88.159,1370,0.0504,1368,68.9326,1368
NO,-0.0505,1361,-68.7518,1361,0.0064,1455,9.2842,1455
NYG,-0.0829,1408,-116.7056,1408,0.0404,1359,54.9155,1359
NYJ,-0.0043,1333,-5.7331,1333,0.0485,1404,68.026,1404
PHI,0.0801,1430,114.5118,1430,-0.0579,1306,-75.5901,1306
PIT,0.0064,1412,9.0824,1412,-0.0251,1372,-34.4814,1372
SEA,-0.0096,1393,-13.378,1393,-0.0103,1409,-14.4567,1409
SF,0.0235,1349,31.7468,1349,0.0645,1328,85.7202,1328
TB,0.102,1416,144.458,1416,0.0043,1400,6.028,1400
TEN,-0.0896,1377,-123.4099,1377,0.0378,1338,50.5243,1338
WAS,0.1165,1433,166.9773,1433,0.0409,1374,56.1687,1374
